row_id,job_position_title,resume_text,job_description
1001,Registered Nurse (RN),"HUMAN RESOURCES PROFESSIONAL       Professional Summary     Experienced working in fast-paced environments demanding strong organizational, technical, and interpersonal skills. Highly trustworthy, ethical, and discreet; committed to superior customer service. Confident and poised in interactions with individuals at all levels. Detail-oriented and resourceful in completing projects; able to multitask effectively.       Skills          Networking and Partnership Development  Decision Making  Report Preparation  Human Resources Management Systems  Procedure Compliance  In-Person and Telephone Interviewing  Employment Data Tracking  New Hire Onboarding & Orientation      Termination Documentation  Conflict Resolution  Documentation and Recordkeeping  Willingness to Learn  Remote Conferencing and Communication  Microsoft Office  Employee and Applicant Assessment            Work History     07/2018   to   01/2021     Human Resources professional      Company Name    –    City  ,   State        With hands on experience in distribution environment.  Employee Relations/Conflict Resolution and Policy/Process guidance.  Initial workforce hiring, pre-acquisition due diligence and post-acquisition HR integration.  Completed 2 days of onboarding process every week. Ranging from initial presentation on companies' policies and overview, to revising e-verify process, making badges, and assuring system certifications (FDU) were completed upon starting in their new role.  Managed and updated personnel files for old and new hires in the Human Resources Information System database (Lawson).  Assessed and streamlined training coach program to drive consistency of company's processes.  Fostered a teamwork environment conducive to positive dialogue across the organization.  Personal efforts were cited as a great driving force behind DC employee-retention rate within an industry where high turnover is the norm.  Saved company thousands of dollars every month by reducing reliance on employme [...]","registered nurse contract fulltime

are you looking for an exciting  professional career in occupational health do you enjoy learning new roles and having a variety of job functions within the workplace then this dynamic role is for you please apply at medika north inc fort mcmurrays professional occupational health service company our modern clinic is conveniently located in the heart of taiganova industrial park we have positions for  registered nurses

job title registered nurse positions 

we are seeking registered nurses to become part of the health team in a treatment room setting this position will be onsite for an oil  gas client near fort mcmurray alberta this position plays an important role in the overall success of one of our clients and requires professionalism and high practice standards  competency

the registered nurse will be primarily responsible for first aid care within a treatment room setting working with emergency response personnel in a collaborative environment acps firefighters rns pcps performing workplace health screenings and health promotion disease prevention efforts in response to covid other duties include covid screening both antigen and pcr health screening activities such as hearing conservation program silica medical surveillance and respiratory health program drug and alcohol testing will train the right individuals

roles and responsibilities
 maintaining medika norths privacyconfidentiality policies and procedures under each program and [...]"
1002,Apple Solutions Consultant,"SOFTWARE SUPPORT SPECIALIST           Professional Summary     Dedicated Customer Service Representative motivated to maintain customer satisfaction and contribute to company success.       Skill Highlights          Strong organizational skills  Energetic work attitude  Telephone inquiries specialist  Customer service expert      Telecommunication skills  Adaptive team player  Active listening skills  Sharp problem solver            Work Experience      Software Support Specialist     Company Name   －   City  ,   State      Evaluated system potential by testing compatibility of new programs with existing programs.  Maximized use of software by training users; interpreting instructions; answering questions.  Maintained system capability by testing computer components.  Assisted customer with installation of software and hardware.          Financial Foundations Associate     Company Name   －   City  ,   State      Acquired and applies developing knowledge of products, services, and processes.  Recognized life events, understands member's needs and provides advice in order to deliver appropriate solutions to the member.  Handled basic billing inquiries focusing on ""One & Done"" philosophy.  Specific product knowledge includes Auto, Home, Renters, and Valuable Personal Property.  Assisted members with their online account.          Admission Representative     Company Name   －   City  ,   State      Execute high volume of outbound phone calls.  Contacted students with computer issues.  Completed interview process with each prospective.  Follow-up regularly with student until start of classes.          Associate     Company Name   －   City  ,   State      Handled inbound telephone inquiries from retirement plan participants.  Responded to client's requested for account maintenance and balance information.  Processed financial transactions.  Offered appropriate products and services.  Provided appropriate education regarding a participant's retirement plan.  Wells Fargo Eq [...]","description
as an asc you will be highly influential in growing mind and market share of apple products while building longterm relationships with those who share your passion 
customer experiences are driven through you and your partner team growing in an ever changing and challenging environment you strive for perfection whether its maintaining visual merchandising or helping to grow and develop your partner team

qualifications
a passion to help people understand how apple products can enrich their livesexcellent communication skills allowing you to be as comfortable in front of a small group as you are speaking with individuals years preferred working in a dynamic sales andor results driven environment as well as proven success developing customer loyaltyability to encourage a partner team and grow apple business"
1003,College and Career Advisor - Cuyahoga County,"AGRICULTURE ADVISOR AND LANGUAGE OFFICER       Professional Summary    I successfully completed the 4-years course in Agriculture from Nangarhar Agriculture Faculty in 2002 and have studied English and computer software program for 15 months, at Oxford English and Computer Center Jalalabad City. I worked as Agriculture Advisor - Language officer with provincial Reconstruction Team U.S.A for Afghanistan/ Agriculture development team U.S.A For Afghanistan (PRT/ADT) office and as part of work mandate have gained: Familiarity and good relationship with local authorities, Members, of provincial Assembly and directorates of line Ministries. Participated in different meetings i.e.  (Provincial Development Council, Private sector development, Technical working Group) meetings held at Provincial level to improve life standards of our community and bring prosperity through implementation of developmental programs. Filed visit, Collection of Agriculture data, Monitoring of Agriculture Projects. In addition, I have a valuable experience of working as an Agriculture Coordinator which gave me an opportunity as part of Management body to: Establish adequate support at the community level for the project policies and activities to ensure community participation at all levels. Traveled to different districts and provinces of the country. Identify weaknesses and problems during the implementation process and propose appropriate solutions to avoid conflicts (Social, Political, and Cultural). Attended 3 months training on Agriculture New technology in U.S Kansas State. Furthermore, I have participated in several trainings and Seminars inside and outside the country including projects planning Cycle, Projects implementation, Logical framework Analysis. Conducted numerous capacity building and training workshops on various subjects for Nangarhar Agriculture University Students including, Business Development, Marketing, Field hands on trainings, Communication skill, and many other Food s [...]","job details

job location
college now  cleveland oh

position type
full time

education level
bachelors degree preferred

college now greater cleveland

position description

position title college and career advisor full time  months

status nonexempt

standard hours  hours per day hours vary depending on school schedule and school needs

salary starting at  and increases with relevant experience

reports to manager advising programs and services

assigned to advising programs and services

position summary

the advisor helps students aspire to prepare for enroll in and find resources to pay for postsecondary education based on specific school assignments this is mainly accomplished via classroom workshops group sessions individual student meetings and parent meetings the advisor will work with students in grades that can range between   

essential functions
 work within each schools unique environment in order to best serve students while meeting college now expectations attend faculty meetings school open house college information night and financial aid night and other meetings as necessary in order to meet key school personnel promote college now services and integrate into the schools system
 provide group and individual services to students in all assigned schools these services may include
 assisting students with discerning career and college goals by providing information regarding educational options beyond high school including institutional choice career options [...]"
1004,"Vice President, Operations","OWNER       Summary     Results-oriented individual with diverse background in management and customer service. Dedicated to providing excellent customer service and Strong work ethic, professional demeanor and great initiative.         Highlights          Microsoft Office proficiency  Employee training and development  Schedule management  Results-oriented  Dedicated team player  Resourceful  Bilingual in [Language]  Arts and crafts aptitude  Meeting planning  Scheduling  Concierge duties  Operations management  Marketing and sales specialist  Excellent interpersonal and coaching skills  Recruiting and selection techniques  Interviewing  Staff development/training  Internet savvy  Able to work independently and as a member of a team  Comfortable with diverse populations  Excellent relationship building skills  Excellent writing and critical thinking skills  Interpersonal, oral, and written communication skills  Clear public speaking skills       Strong organizational skills  Seasoned in conflict resolution  Customer-oriented  Social media marketing  Event planning  Strong planning skills  Supervision and training  Client relations specialist  Exceptional writing skills  Event planning  Microsoft Office Suite  Dedicated team player  Certified in Early Childhood Education  Classroom management  Parent/teacher conferences  Behavioral/cognitive skills development  Teaching, tutoring and counseling  Effectively work with parents  Motivating students  Interactive teaching/learning  Innovative lesson planning  Conflict resolution techniques  Calm and patient  Curriculum development  Excellent classroom management  Excellent reading comprehension              Accomplishments      Customer Service     Handled customers effectively by identifying needs, quickly gaining trust, approaching complex situations and resolving problems to maximize efficiency.    Administration     Performed administration tasks such as filing, developing spreadsheets, faxing reports, photocopying c [...]","vice president operations

new albany ohio

brightview enterprise solutions

looking for an opportunity where success comes naturally then you may have found your crew were looking for a vice president operations to join our team

heres what youd do

the vice president operations will work with the senior leadership team to ensure daytoday operations function efficiently to achieve short and long term objectives the vice president operations will need to understand the business structure and culture have a working knowledge of all work processes and systems envision company goals as well as play a key role in defining the strategy ensure that systems are operating efficiently and deliver high quality services while reducing operating overhead as a member of the bes leadership team the vice president operations will work with each department to accomplish company goals and objectives

youd be responsible for
 work with senior leadership team within the bes business unit to develop and implement operating plans to achieve strategic business initiatives and deliver results
 develop implement and direct execution of operating processes policies and service delivery to improve our ability to service our clients to maximize retention and grow the business
 directs company field operations to achieve service delivery goals budget and other objectives in a dynamic seasonal business
 directs shortterm and longrange planning and budget development to support strategic business goals
 e [...]"
1005,"Sales Associate Totally Pagoda,Providence Place Mall","SALES ASSOCIATE       Career Focus    I am a dedicated, hardworking woman. I am trying to provide for a growing family. I am great with people, and handle myself well in difficult situations. I am looking to eventually go back to school and better my own life as well. As for now I am seeking any type of employment to be able to provide for the daily needs of myself and my children.      Skills      Speaking   Sales and Marketing  Customer and personal Service  Active Listening  Critical Thinking  Reading Comprehension  English Language  Judgement and Decision Making  Social Perceptiveness  Persuasion  Clerical  Coordination  Monitoring  Time Management  Negotiation  Mathematics  Service Oriented  Food Production  Active Learning  Learning Strategies  Instructing  Production and Processing        Education and Training      June 2011    Stanhope Elmore High School   －   City  ,   State      GED              Work Experience      Sales Associate  ,   11/2015   －   12/2015    Company Name   －   City  ,   State      Greet customers and ascertain what each customer wants or needs.  Recommend, select, and help locate or obtain merchandise based on customer needs and desires.  Answer questions regarding the store and its merchandise.  Maintain knowledge of current sales and promotions, policies regarding payment and exchanges, and security practices.  Place special orders or call other stores to find desired items.  Open and close cash registers, performing tasks such as counting money, separating charge slips, coupons, and vouchers, balancing cash drawers, and making deposits.  Watch for and recognize security risks and thefts, and know how to prevent or handle these situations.  Inventory stock and requisition new stock.  Ticket, arrange and display merchandise to promote sales.  Exchange merchandise for customers and accept returns.  Bag or package purchases, and wrap gifts.  Clean shelves, counters, and tables.          Server/Server Assistant  ,   08/2011   －   01/2012 [...]","working with guests helping them find jewelry that suits their needs and piercing also excellent customer service skills needed we are a division of zales jewelers part time flexible hours available hourly pay plus bonus potential

covid precautions
 plastic shield at work stations
 temperature screenings
 social distancing guidelines in place
 sanitizing disinfecting or cleaning procedures in place

paid training
 yes

management
 store manager
 assistant manager

work remotely
 no

this job is ideal for someone who is
 dependable  more reliable than spontaneous
 peopleoriented  enjoys interacting with people and working on group projects
 achievementoriented  enjoys taking on challenges even if they might fail
 innovative  prefers working in unconventional ways or on tasks that require creativity

job type parttime

pay from  per hour

benefits
 paid time off

schedule
  hour shift
 night shift
 weekend availability

supplemental pay
 bonus pay

covid considerations


ability to commuterelocate
 providence ri  reliably commute or planning to relocate before starting work required

work location one location"
1006,Program Coordinator - Adult And Community Education,"25LIVE FUNCTIONAL ADMINISTRATOR/SUPERVISOR OF I.T. HELP DESK         Professional Summary    Experienced R25/ 25Live  Administrator  committed to maintaining cutting edge technical skills and up-to-date industry knowledge.      Skills          Excellent communication skills  System upgrades  Excellent problem-solving abilities  Microsoft MSCA/MCSE Certified  Excellent problem-solving abilities  Excellent diagnostic skills  Enterprise technologies              Work History      25Live Functional Administrator/Supervisor of I.T. Help Desk    ,     10/2007  
                            to   Current     Company Name   –   City  ,
                          State    Communicate with
and identify the needs of Resource 25 usage for staff members within
the University. Set boundaries for Web
Viewers and Users. Respond to space
requests. As the
University's appointed Resource 25
Administrator, all information
on Resource 25 must be kept current by deleting
space/creating new space  .  Run
weekly reports giving key information as to the events occurring on campus and the Sports Complex. E-mail to members of the events Committee. Take leadership role
at the Events meeting
which precedes  the events meeting.  Run weekly reports  on Sports
Complex activities
and e-mail to Village of  Lisle.   Develop, review and implement policies and procedures for the Resource 25 space
reservation process.     Other
Functions:   Keep
current and communicate with IT on the need for Resource 25 upgrades and research and identify the need for
efficiencies such as the Resource 25 and
PeopleSoft interface.  Train authorized Benedictine staff members
to use Resource 25 at the User level.  Maintain/update Resource
25 web site.   Assist areas within
the Office
of
Operations during summer/vacation period.  Handle/answer inbound requests from customers.  Answer phones professionally. Answer Service
Desk requests and tickets in a timely manner. 
Use questioning and listening skills that support effective [...]",program coordinator  adult and community education columbus city schools  columbus oh sign in for commute time apply now job details parttime  contract  minutes ago qualifications communication skills adult education curriculum development bachelors degree full job description  applications must be filed online at  at columbus city schools we strive to make sure each student is highlyeducated prepared for leadership and service and empowered for success as a citizen in a global community  but we cant do it without you as an awardwinning school district in the awardwinning city of columbus ohio we are proud of the work our more than  employees including teachers coaches and administrators do every day to change the lives of our students established in  the district is under the leadership of superintendent dr talisa dixon and a sevenmember board of education with more than  students located in over  different schools around the city of columbus we know theres a position thats right for you rise up and apply to our exciting and impactful position detailed below position summary responsible for the coordination of workforce development programs for adult and community education students following the programcourse goals and objectives that are supportive of the departments mission to serve its customers responsibilities include monitoring collecting and evaluating performance and progress toward the implementation of programcourse goals and objectives essential duties the statem [...]
1007,Financial Professional – Financial / Insurance – Entry Level,"WELLNESS DIRECTOR         Professional Summary          Skills          SKILLS  Body composition evaluations  Telehealth experience  Group Instruction  One-on-one coaching  Health education  Data management  Supervision  Planning and Coordination  Training & Development  Leadership  Compassion  Conflict resolution  CERTIFICATIONS  Group Fitness Instructor, NIFS Certified  Certified Therapeutic Exercise Specialist, ACE Certified  Yoga, Tai Chi, Spin, TRX, Behavior Modification, Parkinson's, Health and  Wellness, Aquatics NETA, Aquatic Exercise and Science and ACE  Certified,  Mixed Martial Arts and Boxing certified Inspector, Association of Boxing  Commissioners.      Accounting, HR, Promotion  Administrative, Instructor, Public relations  Arts, Instruction, Quality  Budgets, Leadership, Quality control  Business operations, Managing, Relationship-building  Coaching, Marketing, Safety  Chi, Market, Sales  Interpersonal, Access, Statistics  Excellent, NETA, Supervision  Communication, Organizational, Team player  Conflict resolution, Personnel, Trainer  Clients, Camera, Video  Data management, Policies, Composition  Delivery, Presentations  Educator, Pricing  Finance, Processes  Financial, Profit  Forms, Program development  Functional, Progress            Work History      WELLNESS DIRECTOR  ,     09/2015   to    Current      Company Name    –    City  ,   State        Helped clients set and achieve health and wellness goals.  Conducted group wellness presentations for classes up to 80+ participants.  Demonstrated safe and correct forms for each exercise and piece of
equipment.  Conducted needs assessments or surveys to determine interest in or
satisfaction with wellness and fitness programs, events or services.  Met or exceeded monthly revenue and training goals.  Performed screenings every month for markers such as blood pressure,
weight and BMI.  Conducted needs assessments or surveys to determine interest in or
satisfaction with wellness and fitness programs, eve [...]",financial professional  financial  insurance  entry level description entry level or new college graduate opportunities rarely give you a financial professional agent opportunity that allows you to manage your own book of business as a new york life insurance company financial professional agent you will not only manage your own book of clients but provide clients with insurance options and customer service you will help your clients prepare for longterm financial stability and security new york life is currently seeking selfmotivated driven individuals with a passion for making a positive impact on peoples lives your collegiate experience as a student a member of student organizations a leader or a student athlete have given you the skills you need to launch a career in a company with a wellknown reputation and resources your entrepreneurial spirit and desire for personal growth can take you wherever you want to go and new york life can help as a financial professional agent you will have the freedom to build your network of insurance clients and business associates who are looking for insurance and financial solutions many of our agents started their careers with new york life right out of college entry level candidates are encouraged to apply responsibilities of financial professional  financial  insurance  entry level  schedule appointments and meet with potential clients  make product recommendations to help clients meet their financial goals  provide ongoing service and [...]
1008,Customer Service Representative,"FIELD HR ASSOCIATE           Summary    Reliable HR Field Associate with a Master's of science in Human Resource management emphasis as a Generalist. Passionate and motivated with a drive for excellence.  Handles tasks with accuracy and efficiency. 
______________________________________________________________________________
Skills
*Verbal and written communication skills 
*Time management and organization skills
*Powerpoint presentations
*Flexible 
*Recruiting
*Investigation training
*Employee engagement
*Ability to develop and execute recruitment strategies
*Analyze data and recommend opportunities for improvement 
*Experience in preparing for audits
*Assisted in the hiring process by screening resumes-Select interview process certified via FedEx Ground
* Demonstrated ability to interact effectively with employees. 
* Ability to anticipate and identify problems and use sound judgment and fact based analysis to develop effective and efficient solutions. 
* Software skills, including use of Microsoft Office software and web-based applications. 
* Ability to work day, evening and overnight hours as business needs dictate. I am sending my resume to apply for the position of HR Generalist at AccruePartners, which was posted on LinkedIn by Mr. Luther Hardings.
As you can see in my resume, I possess over 6 years of experience working as an HR professional at two renowned companies in the US, which according to your job requirements, are two most important points.
My qualifications are the exact match to your job descripton:
* Capable of carrying out the recruitment process efficiently while maintaining quality standard.
Evidence: Screened 1500 resumes, Interviewed 500 candidates and hired 150 from this pool for the new call center setup at ABC Company in only 25 days.
* Able to consistently draft new and improve HR policies and procedures to boost staff motivation.
Evidence: With new and improved policies and procedures and resolving all staff related issues, increased [...]","if you are really interested in this job read the entire post its all about the details for us

we are looking for a team player who wants to help us close more deals youll be responsible for answering the phone when customers call as well as doing some outbound sales calls texts and emails we sell vacant land across the us and have an excellent website that gets a lot of leads
 please provide a voice sample when you apply or you will not be considered there if you read that and include a voice sample you just made it to the top  of applicants if you dont include a voice sample dont bother applying as your application will be disregarded

youll be part of a highenergy team of aplayers who love to have fun while being productive

must speak perfect english both verbal and written youll be speaking with people in the us regularly so you should be friendly and professional but have a sense of urgency being nice is key

base compensation is  per hour depending on experience you should expect to make an average of  to  per hour during your first months on the job after that your commissions will increase because youve built your pipeline and can make between  and  per hour

must be willing to work  to  mountain standard time denver colorado

we look forward to hearing from you if this sounds like a good fit"
1009,Inventory Clerk,"SUPPLY CHAIN MANAGER           Summary    Operations Manager FIU College of Business MBA Programs          Experience         November 2013   to   July 2014     Supply Chain Manager   City        Achieved corporate goals through the development and execution of strategy, policy, and leadership.  Primarily, but not limited to activities relating to master planning, tactical purchasing, receiving, warehousing, and shipping, and general materials Management.  Created and implemented Supply Chain Operational Excellence plan and Business Process Improvement plan to increase inventory turns (from 4 average turns per year to 7 average annual turns per year) within a high mix, low volume global business environment.  Controlled inventory assets to include expendable aircraft parts, Rotable and exchange pool assets, chemicals, miscellaneous shop supplies and consumable items valued at 6.8 million dollars.  Achieved and maintained  KPI's related to inventory turns, purchase price variances, material availability, on-time delivery, past due backlog, customer lead time, and overtime premium expenses.  Through both strategic initiatives and tactical response, ensured material availability for fulfilling customer orders on time, meeting target customer lead times, and fulfilling revenue commitments.  Responsible for weekly cycle count program and annual physical inventory processes.  Maintained a key role in the execution of monthly Sales, Inventory, and Operations (SIOP) goals.  Implemented lean principles, change management process, and best practices, for all purchasing/procurement, material handling/storage, and logistics activities.  Developed direct reports to support departmental and organizational continuous improvement goals.  Created and managed departmental expense budgets.  Negotiated and executed supplier agreements/contracts by working with cross-functional stakeholders and suppliers to reach agreement on contract terms and conditions.  Worked closely with departmen [...]",central business park  melrose ave ste  southfield michigan  united states of america this position is responsible for maintenance storage and utilization of the dialysis facility inventory and inventory system in accordance witinventory clerk inventory clerk healthcare retail
1010,Digital Marketing Internship at EdTech Start-up,"PUBLIC RELATIONS SPECIALIST           Summary     Dedicated Communication Specialist with extensive experience in media relations and special event planning. Areas of expertise include writing for many audiences, public policy analysis and managing multiple priorities.        Highlights         Superb writer and editor  Trained in media relations and crisis communication  Print and electronic media  Deadline-driven  Exceptional problem solver  Compelling public speaker  Exceptional writing skills  Event planning  SEO knowledge  Microsoft Office Suite  WordPress  Adobe Photoshop  Quark XPress   InDesign  Final Cut Pro       Skilled multi-tasker  Focused and driven  Dedicated team player  Positive attitudeExcellent communicator   Firm grasp of Associated Press Stylebook  Social media communication (ie: Facebook, Twitter, LinkedIn, Ello, Women.com, Instagram, tsu, MySpace, Google+)            Accomplishments     Communicated with the public, elected officials, media and employees.  Ran communications and public relations efforts on hundreds of projects with minimal budgets.  Developed and implemented an innovative internal communications strategy to improve employee engagement through strategic messaging.       Experience      Public Relations Specialist    March 2012   to   January 2014     Company Name   －   City  ,   State      Created position - took over duties from PR agency  Promoted the plan to media, Health Plan members and the public  Updated and monitored social media communication and website  Wrote and implemented yearly Public Relations and Social Media plans  Arranged sponsorships of area events, promotion and event planning  Coordinated and implemented community relations programs and charitable events   Tracked negative communication about the organization on websites and blogs and developed strategies for addressing it.   Devised optimal communications strategies to reach target audiences.  Planned and publicized events, including negotiating vendor c [...]","this internship is an opportunity to
 grow your knowledge of digital marketing
 work with the closeknit team of the goodreads for kids
 gain experience in a startup environment
 increase childrens enthusiasm about reading

at biblionasium our mission and passion is to encourage excite and engage kids to read founded in  this multiple awardwinning education technology company has over a million registered students and over a hundred thousand educators we are known as the goodreads for kids where students share book ratings reviews and recommendations with their friends and members of their school community in addition we provide a host of tools for educators to monitor measure and manage student independent reading to learn more about us please visit our website

to keep in contact with our user base and to grow our network of educators and parents biblionasium is looking for a social media marketing intern who will manage part of our communication channels and our social media presence this is a great opportunity for college students who are working toward a future career in the social media marketing andor publishing fields to gain handson experience

we are looking for business marketing or communications students who also have an interest in education literacy andor the childrens publishing industry any previous experience with digital marketing or social media or completed relevant coursework will be considered a plus
this is a remote position and you can work on your own [...]"
